Identificativo;TipologiaImmobile;Indirizzo;Comune;Provincia;Sezione;Foglio;Particella;Sub
6239T;Terreno;;Bisaccia;AV;;40;264;
6240T;Terreno;;Bisaccia;AV;;40;266;
6241T;Terreno;;Bisaccia;AV;;40;256;
6242T;Terreno;;Bisaccia;AV;;40;274;
6243T;Terreno;;Bisaccia;AV;;40;93;
6460T;Terreno;;Napoli;NA;;207;65;
6461T;Terreno;;Castellammare di Stabia;NA;;23;3;
6471T;Terreno;;Altavilla Irpina;AV;;2;1334;
6472T;Terreno;;Guardia Lombardi;AV;;48;405;
6473T;Terreno;;Guardia Lombardi;AV;;48;404;
6474T;Terreno;;Sant'Andrea di Conza;AV;;2;436;
6476T;Terreno;;Bisaccia;AV;;39;94;
6478T;Terreno;;Bucciano;BN;;1;182;
6479T;Terreno;;Bucciano;BN;;1;156;
6480T;Terreno;;Bucciano;BN;;1;159;
6481T;Terreno;;Bucciano;BN;;1;163;
6482T;Terreno;;Bucciano;BN;;1;166;
6483T;Terreno;;Bucciano;BN;;1;168;
6484T;Terreno;;Bucciano;BN;;1;174;
6485T;Terreno;;Bucciano;BN;;1;180;
6486T;Terreno;;Bucciano;BN;;1;185;
6487T;Terreno;;Bucciano;BN;;1;188;
6488T;Terreno;;Bucciano;BN;;1;190;
6489T;Terreno;;Bucciano;BN;;4;352;
6490T;Terreno;;Bucciano;BN;;4;355;
6491T;Terreno;;Bucciano;BN;;5;228;
6492T;Terreno;;Bucciano;BN;;5;236;
6493T;Terreno;;Bucciano;BN;;5;243;
6494T;Terreno;;Bucciano;BN;;5;248;
6495T;Terreno;;Bucciano;BN;;5;254;
6496T;Terreno;;Bucciano;BN;;5;257;
6497T;Terreno;;Bucciano;BN;;5;259;
6498T;Terreno;;Bucciano;BN;;5;261;
6499T;Terreno;;Bucciano;BN;;5;264;
6500T;Terreno;;Bucciano;BN;;5;276;
6501T;Terreno;;Bucciano;BN;;5;278;
6502T;Terreno;;Bucciano;BN;;5;281;
6503T;Terreno;;Bucciano;BN;;5;282;
6504T;Terreno;;Bucciano;BN;;6;527;
6505T;Terreno;;Bucciano;BN;;6;530;
6506T;Terreno;;Bucciano;BN;;6;533;
6507T;Terreno;;Bucciano;BN;;6;537;
6508T;Terreno;;Bucciano;BN;;6;539;
6509T;Terreno;;Bucciano;BN;;6;545;
6510T;Terreno;;Bucciano;BN;;6;548;
6511T;Terreno;;Bucciano;BN;;6;551;
6512T;Terreno;;Bucciano;BN;;6;554;
6513T;Terreno;;Bucciano;BN;;6;560;
6514T;Terreno;;Bucciano;BN;;6;569;
6515T;Terreno;;Bucciano;BN;;6;571;
6516T;Terreno;;Bucciano;BN;;6;574;
6517T;Terreno;;Bucciano;BN;;6;577;
6518T;Terreno;;Bucciano;BN;;6;580;
6519T;Terreno;;Bucciano;BN;;6;654;
6520T;Terreno;;Bucciano;BN;;6;655;
6521T;Terreno;;Bucciano;BN;;8;193;
6522T;Terreno;;Bucciano;BN;;8;252;
6523T;Terreno;;Bucciano;BN;;8;256;
6524T;Terreno;;Bucciano;BN;;8;259;
6525T;Terreno;;Bucciano;BN;;8;262;
6526T;Terreno;;Bucciano;BN;;8;266;
6528T;Terreno;;Montesano sulla Marcellana;SA;;56;134;
6529T;Terreno;;Montesano sulla Marcellana;SA;;56;144;
6530T;Terreno;;Montesano sulla Marcellana;SA;;56;156;
6531T;Terreno;;Montesano sulla Marcellana;SA;;56;157;
6532T;Terreno;;Montesano sulla Marcellana;SA;;56;158;
6533T;Terreno;;Montesano sulla Marcellana;SA;;56;159;
6534T;Terreno;;Montesano sulla Marcellana;SA;;56;233;
6535T;Terreno;;Montesano sulla Marcellana;SA;;56;234;
6536T;Terreno;;Montesano sulla Marcellana;SA;;56;235;
6537T;Terreno;;Montesano sulla Marcellana;SA;;56;236;
6538T;Terreno;;Montesano sulla Marcellana;SA;;56;237;
6539T;Terreno;;Montesano sulla Marcellana;SA;;56;229;
6540T;Terreno;;Montesano sulla Marcellana;SA;;56;230;
6541T;Terreno;;Montesano sulla Marcellana;SA;;56;231;
6542T;Terreno;;Montesano sulla Marcellana;SA;;56;232;
6543T;Terreno;;Montesano sulla Marcellana;SA;;56;150;
6544T;Terreno;;Montesano sulla Marcellana;SA;;56;227;
6545T;Terreno;;Montesano sulla Marcellana;SA;;56;228;
6546T;Terreno;;Montesano sulla Marcellana;SA;;55;44;
6547T;Terreno;;Montesano sulla Marcellana;SA;;55;45;
6548T;Terreno;;Montesano sulla Marcellana;SA;;55;46;
6549T;Terreno;;Montesano sulla Marcellana;SA;;55;47;
6550T;Terreno;;Montesano sulla Marcellana;SA;;55;48;
6551T;Terreno;;Montesano sulla Marcellana;SA;;55;49;
6552T;Terreno;;Montesano sulla Marcellana;SA;;55;50;
6553T;Terreno;;Montesano sulla Marcellana;SA;;55;51;
6554T;Terreno;;Montesano sulla Marcellana;SA;;55;52;
6555T;Terreno;;Montesano sulla Marcellana;SA;;55;53;
6556T;Terreno;;Montesano sulla Marcellana;SA;;55;54;
6557T;Terreno;;Montesano sulla Marcellana;SA;;55;55;
6558T;Terreno;;Montesano sulla Marcellana;SA;;55;56;
6559T;Terreno;;Montesano sulla Marcellana;SA;;55;57;
6560T;Terreno;;Montesano sulla Marcellana;SA;;55;58;
6561T;Terreno;;Montesano sulla Marcellana;SA;;55;59;
6562T;Terreno;;Montesano sulla Marcellana;SA;;55;60;
6563T;Terreno;;Montesano sulla Marcellana;SA;;55;61;
6564T;Terreno;;Montesano sulla Marcellana;SA;;55;62;
6565T;Terreno;;Montesano sulla Marcellana;SA;;55;63;
6566T;Terreno;;Montesano sulla Marcellana;SA;;55;64;
6567T;Terreno;;Montesano sulla Marcellana;SA;;55;65;
6568T;Terreno;;Montesano sulla Marcellana;SA;;55;66;
6569T;Terreno;;Montesano sulla Marcellana;SA;;55;67;
6570T;Terreno;;Montesano sulla Marcellana;SA;;55;68;
6571T;Terreno;;Montesano sulla Marcellana;SA;;56;242;
6572T;Terreno;;Montesano sulla Marcellana;SA;;56;243;
6573T;Terreno;;Montesano sulla Marcellana;SA;;56;244;
6574T;Terreno;;Montesano sulla Marcellana;SA;;56;245;
6575T;Terreno;;Montesano sulla Marcellana;SA;;56;246;
6576T;Terreno;;Montesano sulla Marcellana;SA;;56;247;
6577T;Terreno;;Montesano sulla Marcellana;SA;;56;248;
6578T;Terreno;;Montesano sulla Marcellana;SA;;56;249;
6579T;Terreno;;Montesano sulla Marcellana;SA;;56;250;
6580T;Terreno;;Montesano sulla Marcellana;SA;;56;251;
6581T;Terreno;;Montesano sulla Marcellana;SA;;56;252;
6582T;Terreno;;Montesano sulla Marcellana;SA;;56;240;
6583T;Terreno;;Montesano sulla Marcellana;SA;;56;241;
6588T;Terreno;;Bisaccia;Av;;28;129;
6596T;Terreno;;Roccarainola;NA;;3;77;
6620T;Terreno;;Nocera Inferiore;SA;;9;1467;
6621T;Terreno;;Nocera Inferiore;SA;;9;1460;
6622T;Terreno;;Nocera Inferiore;SA;;9;1464;
6623T;Terreno;;Nocera Inferiore;SA;;9;1462;
6624T;Terreno;;Nocera Inferiore;SA;;9;1718;
6625T;Terreno;;Nocera Inferiore;SA;;9;1719;
6626T;Terreno;;Nocera Inferiore;SA;;9;1720;
6627T;Terreno;;Nocera Inferiore;SA;;9;1308;
6628T;Terreno;;Pagani;SA;;7;1846;
6629T;Terreno;;Pagani;SA;;7;1856;
6630T;Terreno;;Pagani;SA;;7;1835;
6631T;Terreno;;Pagani;SA;;7;1839;
6632T;Terreno;;Nocera Inferiore;SA;;9;1466;
6635T;Terreno;;Bucciano;BN;;1;156;
6648T;Terreno;;Nola;NA;;5;33;
6649T;Terreno;;Nola;NA;;5;109;
6650T;Terreno;;Nola;NA;;10;115;
6651T;Terreno;;Nola;NA;;10;243;
6652T;Terreno;;Nola;NA;;10;50;
6653T;Terreno;;Nola;NA;;8;24;
6654T;Terreno;;Nola;NA;;8;38;
6655T;Terreno;;Nola;NA;;8;78;
6656T;Terreno;;Nola;NA;;8;149;
6657T;Terreno;;Nola;NA;;8;148;
6658T;Terreno;;Nola;NA;;8;144;
6659T;Terreno;;Nola;NA;;8;67;
6660T;Terreno;;Nola;NA;;8;77;
6661T;Terreno;;Nola;NA;;8;141;
6662T;Terreno;;Nola;NA;;8;9;
6663T;Terreno;;Nola;NA;;8;169;
6664T;Terreno;;Nola;NA;;8;47;
6665T;Terreno;;Nola;NA;;8;55;
6666T;Terreno;;Nola;NA;;8;130;
6667T;Terreno;;Nola;NA;;8;42;
6668T;Terreno;;Nola;NA;;8;343;
6669T;Terreno;;Nola;NA;;8;344;
6670T;Terreno;;Nola;NA;;8;380;
6671T;Terreno;;Nola;NA;;8;382;
6672T;Terreno;;Nola;NA;;8;385;
6673T;Terreno;;Nola;NA;;8;387;
6674T;Terreno;;Nola;NA;;10;527;
6675T;Terreno;;Nola;NA;;10;561;
6676T;Terreno;;Nola;NA;;10;563;
6677T;Terreno;;Nola;NA;;8;56;
6678T;Terreno;;Nola;NA;;8;121;
6679T;Terreno;;Nola;NA;;10;570;
6680T;Terreno;;Nola;NA;;10;556;
6681T;Terreno;;Nola;NA;;10;558;
6682T;Terreno;;Nola;NA;;8;328;
6683T;Terreno;;Nola;NA;;8;331;
6684T;Terreno;;Nola;NA;;8;360;
6685T;Terreno;;Nola;NA;;8;330;
6686T;Terreno;;Nola;NA;;8;333;
6687T;Terreno;;Nola;NA;;8;362;
6688T;Terreno;;Nola;NA;;8;302;
6689T;Terreno;;Nola;NA;;8;304;
6690T;Terreno;;Nola;NA;;8;277;
6691T;Terreno;;Nola;NA;;8;279;
6692T;Terreno;;Nola;NA;;10;564;
6693T;Terreno;;Nola;NA;;10;566;
6694T;Terreno;;Nola;NA;;8;292;
6695T;Terreno;;Nola;NA;;8;297;
6696T;Terreno;;Nola;NA;;8;294;
6697T;Terreno;;Nola;NA;;8;299;
6698T;Terreno;;Nola;NA;;8;305;
6699T;Terreno;;Nola;NA;;8;60;
6700T;Terreno;;Nola;NA;;6;3;
6701T;Terreno;;Nola;NA;;8;123;
6702T;Terreno;;Nola;NA;;8;271;
6703T;Terreno;;Nola;NA;;8;274;
6704T;Terreno;;Nola;NA;;8;273;
6705T;Terreno;;Nola;NA;;6;6;
6706T;Terreno;;Nola;NA;;8;7;
6707T;Terreno;;Nola;NA;;8;6;
6708T;Terreno;;Nola;NA;;8;204;
6709T;Terreno;;Nola;NA;;8;166;
6710T;Terreno;;Nola;NA;;8;267;
6711T;Terreno;;Nola;NA;;5;92;
6712T;Terreno;;Nola;NA;;5;580;
6713T;Terreno;;Nola;NA;;6;87;
6715T;Terreno;;Nola;NA;;8;289;
6716T;Terreno;;Nola;NA;;8;287;
6717T;Terreno;;Nola;NA;;10;32;
6718T;Terreno;;Nola;NA;;10;357;
6719T;Terreno;;Nola;NA;;10;27;
6720T;Terreno;;Nola;NA;;10;28;
6721T;Terreno;;Nola;NA;;10;141;
6722T;Terreno;;Nola;NA;;10;185;
6723T;Terreno;;Nola;NA;;10;110;
6724T;Terreno;;Nola;NA;;10;346;
6725T;Terreno;;Nola;NA;;10;347;
6726T;Terreno;;Nola;NA;;10;30;
6727T;Terreno;;Nola;NA;;10;356;
6728T;Terreno;;Nola;NA;;10;277;
6729T;Terreno;;Nola;NA;;10;279;
6730T;Terreno;;Nola;NA;;10;173;
6731T;Terreno;;Nola;NA;;8;172;
6732T;Terreno;;Nola;NA;;10;111;
6733T;Terreno;;Nola;NA;;8;43;
6734T;Terreno;;Nola;NA;;8;147;
6735T;Terreno;;Nola;NA;;8;146;
6736T;Terreno;;Nola;NA;;8;261;
6737T;Terreno;;Nola;NA;;10;29;
6738T;Terreno;;Nola;NA;;10;269;
6739T;Terreno;;Nola;NA;;10;288;
6740T;Terreno;;Nola;NA;;10;276;
6741T;Terreno;;Nola;NA;;10;473;
6742T;Terreno;;Nola;NA;;10;33;
6743T;Terreno;;Nola;NA;;5;133;
6744T;Terreno;;Nola;NA;;5;45;
6745T;Terreno;;Nola;NA;;5;46;
6746T;Terreno;;Nola;NA;;5;47;
6747T;Terreno;;Nola;NA;;5;98;
6748T;Terreno;;Nola;NA;;5;164;
6749T;Terreno;;Nola;NA;;10;56;
6750T;Terreno;;Nola;NA;;10;57;
6751T;Terreno;;Nola;NA;;10;52;
6752T;Terreno;;Nola;NA;;8;8;
6753T;Terreno;;Nola;NA;;8;10;
6754T;Terreno;;Nola;NA;;8;61;
6755T;Terreno;;Nola;NA;;8;120;
6756T;Terreno;;Nola;NA;;8;74;
6757T;Terreno;;Nola;NA;;8;45;
6758T;Terreno;;Nola;NA;;10;34;
6759T;Terreno;;Nola;NA;;10;51;
6760T;Terreno;;Nola;NA;;8;127;
6761T;Terreno;;Nola;NA;;10;49;
6762T;Terreno;;Nola;NA;;8;17;
6763T;Terreno;;Nola;NA;;8;70;
6764T;Terreno;;Nola;NA;;8;185;
6765T;Terreno;;Nola;NA;;5;89;
6766T;Terreno;;Nola;NA;;10;62;
6767T;Terreno;;Nola;NA;;10;348;
6768T;Terreno;;Nola;NA;;10;353;
6769T;Terreno;;Nola;NA;;10;354;
6770T;Terreno;;Nola;NA;;10;26;
6771T;Terreno;;Nola;NA;;10;351;
6772T;Terreno;;Nola;NA;;10;352;
6773T;Terreno;;Nola;NA;;10;355;
6774T;Terreno;;Nola;NA;;10;77;
6775T;Terreno;;Nola;NA;;10;113;
6776T;Terreno;;Nola;NA;;10;268;
6777T;Terreno;;Nola;NA;;8;26;
6778T;Terreno;;Nola;NA;;10;291;
6779T;Terreno;;Nola;NA;;10;191;
6780T;Terreno;;Nola;NA;;10;109;
6781T;Terreno;;Nola;NA;;10;339;
6782T;Terreno;;Nola;NA;;10;54;54/A
6783T;Terreno;;Nola;NA;;10;340;
6784T;Terreno;;Nola;NA;;10;278;
6785T;Terreno;;Nola;NA;;10;53;
6786T;Terreno;;Nola;NA;;10;286;
6787T;Terreno;;Nola;NA;;5;103;
6788T;Terreno;;Nola;NA;;10;60;
6789T;Terreno;;Nola;NA;;10;61;
6790T;Terreno;;Nola;NA;;10;406;
6791T;Terreno;;Nola;NA;;8;171;
6792T;Terreno;;Nola;NA;;5;96;
6793T;Terreno;;Nola;NA;;5;37;
6794T;Terreno;;Nola;NA;;8;30;
6795T;Terreno;;Nola;NA;;10;25;
6796T;Terreno;;Nola;NA;;10;82;
6797T;Terreno;;Nola;NA;;10;298;
6798T;Terreno;;Nola;NA;;10;300;
6799T;Terreno;;Nola;NA;;10;302;
6800T;Terreno;;Nola;NA;;10;142;
6801T;Terreno;;Nola;NA;;10;295;
6802T;Terreno;;Nola;NA;;10;188;
6803T;Terreno;;Nola;NA;;10;164;
6804T;Terreno;;Nola;NA;;10;75;
6805T;Terreno;;Nola;NA;;10;76;
6807T;Terreno;;Nola;NA;;8;19;
6808T;Terreno;;Nola;NA;;8;175;
6809T;Terreno;;Nola;NA;;8;181;
6810T;Terreno;;Nola;NA;;10;55;
6811T;Terreno;;Nola;NA;;10;78;
6812T;Terreno;;Nola;NA;;10;79;
6813T;Terreno;;Nola;NA;;10;283;
6814T;Terreno;;Nola;NA;;10;297;
6815T;Terreno;;Nola;NA;;10;81;
6816T;Terreno;;Nola;NA;;10;299;
6817T;Terreno;;Nola;NA;;10;301;
6818T;Terreno;;Nola;NA;;10;272;
6819T;Terreno;;Nola;NA;;10;35;
6820T;Terreno;;Nola;NA;;8;37;
6821T;Terreno;;Nola;NA;;8;129;
6822T;Terreno;;Nola;NA;;8;135;
6823T;Terreno;;Nola;NA;;10;140;
6824T;Terreno;;Nola;NA;;10;196;
6825T;Terreno;;Nola;NA;;10;208;
6826T;Terreno;;Nola;NA;;8;68;
6827T;Terreno;;Nola;NA;;8;356;
6828T;Terreno;;Nola;NA;;8;28;
6829T;Terreno;;Nola;NA;;8;358;
6830T;Terreno;;Nola;NA;;10;260;
6831T;Terreno;;Nola;NA;;8;29;
6832T;Terreno;;Nola;NA;;10;73;
6833T;Terreno;;Nola;NA;;8;63;
6834T;Terreno;;Nola;NA;;8;167;
6835T;Terreno;;Nola;NA;;10;70;
6836T;Terreno;;Nola;NA;;10;410;
6837T;Terreno;;Nola;NA;;8;22;
6838T;Terreno;;Nola;NA;;8;23;
6839T;Terreno;;Nola;NA;;8;65;
6840T;Terreno;;Nola;NA;;8;66;
6841T;Terreno;;Nola;NA;;8;32;
6842T;Terreno;;Nola;NA;;8;312;
6843T;Terreno;;Nola;NA;;8;314;
6844T;Terreno;;Nola;NA;;8;315;
6845T;Terreno;;Nola;NA;;8;425;
6846T;Terreno;;Nola;NA;;8;21;
6847T;Terreno;;Nola;NA;;5;119;
6848T;Terreno;;Nola;NA;;8;39;
6849T;Terreno;;Nola;NA;;8;338;
6850T;Terreno;;Nola;NA;;8;394;
6851T;Terreno;;Nola;NA;;8;366;
6852T;Terreno;;Nola;NA;;8;397;
6853T;Terreno;;Nola;NA;;8;340;
6854T;Terreno;;Nola;NA;;8;396;
6855T;Terreno;;Nola;NA;;8;368;
6856T;Terreno;;Nola;NA;;8;399;
6857T;Terreno;;Nola;NA;;8;393;
6858T;Terreno;;Nola;NA;;8;327;
6859T;Terreno;;Nola;NA;;8;319;
6860T;Terreno;;Nola;NA;;8;391;
6861T;Terreno;;Nola;NA;;8;325;
6862T;Terreno;;Nola;NA;;8;316;
6863T;Terreno;;Nola;NA;;8;318;
6864T;Terreno;;Nola;NA;;10;58;
6865T;Terreno;;Nola;NA;;10;59;
6866T;Terreno;;Nola;NA;;8;128;
6868T;Terreno;;Nola;NA;;8;41;
6869T;Terreno;;Nola;NA;;8;126;
6870T;Terreno;;Nola;NA;;8;46;
6871T;Terreno;;Nola;NA;;8;49;
6872T;Terreno;;Nola;NA;;8;69;
6873T;Terreno;;Nola;NA;;8;140;
6874T;Terreno;;Nola;NA;;8;52;
6875T;Terreno;;Nola;NA;;8;143;
6876T;Terreno;;Nola;NA;;8;122;
6877T;Terreno;;Nola;NA;;8;36;
6878T;Terreno;;Nola;NA;;8;119;
6879T;Terreno;;Nola;NA;;8;71;
6880T;Terreno;;Nola;NA;;8;186;
6881T;Terreno;;Nola;NA;;8;48;
6883T;Terreno;;Nola;NA;;8;53;
6884T;Terreno;;Nola;NA;;8;27;
6885T;Terreno;;Nola;NA;;8;15;
6886T;Terreno;;Nola;NA;;8;16;
6887T;Terreno;;Nola;NA;;8;40;
6888T;Terreno;;Nola;NA;;8;54;
6889T;Terreno;;Nola;NA;;8;25;
6890T;Terreno;;Nola;NA;;8;12;
6891T;Terreno;;Nola;NA;;8;13;
6892T;Terreno;;Nola;NA;;8;11;
6893T;Terreno;;Nola;NA;;8;62;
6894T;Terreno;;Nola;NA;;5;147;
6895T;Terreno;;Nola;NA;;5;104;
6896T;Terreno;;Nola;NA;;5;107;
6897T;Terreno;;Nola;NA;;5;49;
6898T;Terreno;;Nola;NA;;5;50;
6899T;Terreno;;Nola;NA;;8;83;
6900T;Terreno;;Nola;NA;;10;177;
6901T;Terreno;;Nola;NA;;8;82;
6902T;Terreno;;Nola;NA;;10;71;
6903T;Terreno;;Nola;NA;;10;72;
6904T;Terreno;;Nola;NA;;10;281;
6905T;Terreno;;Nola;NA;;10;80;
6906T;Terreno;;Nola;NA;;5;102;
6907T;Terreno;;Nola;NA;;5;39;
6908T;Terreno;;Nola;NA;;5;44;
6909T;Terreno;;Nola;NA;;5;100;
6910T;Terreno;;Nola;NA;;5;118;
6911T;Terreno;;Nola;NA;;5;35;
6912T;Terreno;;Nola;NA;;5;36;
6913T;Terreno;;Nola;NA;;8;58;
6914T;Terreno;;Nola;NA;;8;57;
6915T;Terreno;;Nola;NA;;8;79;
6916T;Terreno;;Nola;NA;;8;80;
6917T;Terreno;;Nola;NA;;8;81;
6918T;Terreno;;Nola;NA;;8;152;
6919T;Terreno;;Nola;NA;;8;334;
6920T;Terreno;;Nola;NA;;8;336;
6921T;Terreno;;Nola;NA;;8;337;
6922T;Terreno;;Nola;NA;;2;495;
6923T;Terreno;;Nola;NA;;6;1;
6924T;Terreno;;Nola;NA;;5;217;
6925T;Terreno;;Nola;NA;;8;32;
6926T;Terreno;;Nola;NA;;6;4;
6927T;Terreno;;Nola;NA;;5;30;
6928T;Terreno;;Nola;NA;;5;378;
6929T;Terreno;;Nola;NA;;6;7;
6930T;Terreno;;Nola;NA;;5;379;
6931T;Terreno;;Nola;NA;;5;91;
6932T;Terreno;;Nola;NA;;6;36;
6933T;Terreno;;Nola;NA;;5;114;
6934T;Terreno;;Nola;NA;;6;38;
6935T;Terreno;;Nola;NA;;5;113;
6936T;Terreno;;Nola;NA;;5;137;
6937T;Terreno;;Nola;NA;;8;265;
6938T;Terreno;;Nola;NA;;5;167;
6939T;Terreno;;Nola;NA;;5;168;
6940T;Terreno;;Nola;NA;;5;207;
6941T;Terreno;;Nola;NA;;5;208;
6942T;Terreno;;Nola;NA;;5;211;
6943T;Terreno;;Nola;NA;;5;214;
6944T;Terreno;;Nola;NA;;5;215;
6945T;Terreno;;Nola;NA;;5;216;
6946T;Terreno;;Nola;NA;;5;435;
6953T;Terreno;;Acerra;NA;;13;904;
6954T;Terreno;;Acerra;NA;;13;905;
6955T;Terreno;;Acerra;NA;;13;906;
6973T;Terreno;;Eboli;SA;;51;980;
6974T;Terreno;;Eboli;SA;;51;1004;
7105T;Terreno;;Napoli;Na;;102;266;
7106T;Terreno;;Napoli;Na;;102;284;
7107T;Terreno;;Napoli;Na;;102;285;
7108T;Terreno;;Napoli;Na;;102;286;
7109T;Terreno;;Napoli;Na;;102;287;
7110T;Terreno;;Napoli;Na;;102;288;
7114T;Terreno;;Sarno;SA;;18;3116;
7120T;Terreno;;Eboli;Sa;;47;195;
7121T;Terreno;;Eboli;Sa;;47;195;
7194T;Terreno;;Gallicano nel Lazio;RM;;4;12;
7196T;Terreno;;Ercolano;NA;;18;2162;
